"","id","Civilite","Age","EpouseFrat","ParentsEnf","Classe","Survie","Prix","PortEmbarq","Sexe","Sexe_modif"
"1","id10","Mr",71,0,0,"1",0,"49.5042","C","Homme","Homme"
"2","id100","Mrs",48,1,0,"1",1,"39.6","C","Femme","Femme"
"11","id1008","Miss",15,0,0,"3",1,"8.0292","Q","Femme","Femme"
"12","id1009","Miss",35,0,0,"3",0,"7.75","Q","Femme","Femme"
"13","id101","Mr",49,1,0,"1",1,"56.9292","C","Homme","Homme"
"15","id1011","Mr",24,1,0,"3",0,"16.1","S","Homme","Homme"
"16","id1012","Mrs",19,1,0,"3",0,"16.1","S","Femme","Femme"
"20","id1016","Mr",55.5,0,0,"3",0,"8.05","S","Homme","Homme"
"22","id1018","Mr",21,0,0,"3",1,"7.775","S","Homme","Homme"
"24","id102","Mr",39,0,0,"1",0,"29.7","C","Homme","Homme"
"25","id1020","Mr",24,0,0,"3",0,"7.8958","S","Homme","Homme"
"26","id1021","Mr",21,0,0,"3",0,"7.8958","S","Homme","Homme"
"27","id1022","Mr",28,0,0,"3",0,"7.8958","S","Homme","Homme"
"30","id1025","Mr",25,0,0,"3",0,"7.65","S","Homme","Homme"
"31","id1026","Master",6,0,1,"3",1,"12.475","S","Homme","Enfant"
"32","id1027","Mrs",27,0,1,"3",1,"12.475","S","Femme","Femme"
"35","id103","Mrs",23,0,1,"1",1,"83.1583","C","Femme","Femme"
"38","id1032","Mr",34,0,0,"3",0,"8.05","S","Homme","Homme"
"46","id104","Miss",38,0,0,"1",1,"227.525","C","Femme","Femme"
"48","id1041","Miss",24,0,0,"3",1,"7.75","Q","Femme","Femme"
"53","id1046","Mr",18,0,0,"3",0,"7.75","S","Homme","Homme"
"54","id1047","Mr",22,0,0,"3",0,"7.8958","S","Homme","Homme"
"55","id1048","Miss",15,0,0,"3",1,"7.225","C","Femme","Femme"
"56","id1049","Miss",1,0,2,"3",1,"15.7417","C","Femme","Enfant"
"57","id105","Miss",54,1,0,"1",1,"78.2667","C","Femme","Femme"
"58","id1050","Mr",20,1,1,"3",1,"15.7417","C","Homme","Homme"
"59","id1051","Mrs",19,1,1,"3",1,"15.7417","C","Femme","Femme"
"60","id1052","Mr",33,0,0,"3",0,"8.05","S","Homme","Homme"
"65","id1057","Master",12,1,0,"3",1,"11.2417","C","Homme","Enfant"
"66","id1058","Miss",14,1,0,"3",1,"11.2417","C","Femme","Femme"
"67","id1059","Miss",29,0,0,"3",0,"7.925","S","Femme","Femme"
"68","id106","Miss",36,0,0,"1",0,"31.6792","C","Femme","Femme"
"69","id1060","Mr",28,0,0,"3",0,"8.05","S","Homme","Homme"
"70","id1061","Miss",18,0,0,"3",1,"7.775","S","Femme","Femme"
"71","id1062","Miss",26,0,0,"3",1,"7.8542","S","Femme","Femme"
"72","id1063","Mr",21,0,0,"3",0,"7.8542","S","Homme","Homme"
"73","id1064","Mr",41,0,0,"3",0,"7.125","S","Homme","Homme"
"74","id1065","Mr",39,0,0,"3",1,"7.925","S","Homme","Homme"
"75","id1066","Mr",21,0,0,"3",0,"7.8","S","Homme","Homme"
"76","id1067","Mr",28.5,0,0,"3",0,"7.2292","C","Homme","Homme"
"77","id1068","Miss",22,0,0,"3",1,"7.75","S","Femme","Femme"
"78","id1069","Mr",61,0,0,"3",0,"6.2375","S","Homme","Homme"
"86","id1076","Mr",23,0,0,"3",0,"9.225","S","Homme","Homme"
"91","id1080","Miss",22,0,0,"3",1,"7.775","S","Femme","Femme"
"94","id1083","Master",9,0,1,"3",1,"3.1708","S","Homme","Enfant"
"95","id1084","Mr",28,0,0,"3",0,"22.525","S","Homme","Homme"
"96","id1085","Mr",42,0,1,"3",0,"8.4042","S","Homme","Homme"
"98","id1087","Miss",31,0,0,"3",0,"7.8542","S","Femme","Femme"
"99","id1088","Mr",28,0,0,"3",0,"7.8542","S","Homme","Homme"
"100","id1089","Mr",32,0,0,"3",1,"7.775","S","Homme","Homme"
"102","id1090","Mr",20,0,0,"3",0,"9.225","S","Homme","Homme"
"103","id1091","Miss",23,0,0,"3",0,"8.6625","S","Femme","Femme"
"104","id1092","Miss",20,0,0,"3",0,"8.6625","S","Femme","Femme"
"105","id1093","Mr",20,0,0,"3",0,"8.6625","S","Homme","Homme"
"106","id1094","Mr",16,0,0,"3",0,"9.2167","S","Homme","Homme"
"107","id1095","Mrs",31,0,0,"3",1,"8.6833","S","Femme","Femme"
"109","id1097","Master",2,3,1,"3",0,"21.075","S","Homme","Enfant"
"110","id1098","Master",6,3,1,"3",0,"21.075","S","Homme","Enfant"
